REFERENCE,SPECIES,ISLAND,POINT_Y,POINT_X,RESERVE,TYPE,LOCALITY,ELEV_FT,ACC,DATE_,YEAR,RECENT,CODE,M,F,NUM,COLLECTOR,COLLECTION,NOTES,RECHECKED,GROUP,SUBGROUP,Duplicate,WAYPOINT,ZONE,BAND,EASTING,NORTHING,N,W,ORDER_WITH,ORDER_OVER,TAXONOMIC_,BY_ENTERED,BY_NAME
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,10/9/71,1971,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2206,1253
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,4/23/72,1972,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2207,1254
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,5/8/74,1974,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2208,1255
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/16/74,1974,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2209,1256
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,3/8/79,1979,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2210,1257
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,3/8/79,1979,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2211,1258
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/25/79,1979,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2212,1259
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/26/79,1979,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2213,1260
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/10/80,1980,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2214,1261
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,4/27/81,1981,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2215,1262
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/12/83,1983,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2216,1263
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,11/20/90,1990,Y,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2219,1266
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,12/5/95,1995,Y,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2222,1269
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/14/96,1996,Y,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2223,1270
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,1/26/99,1999,Y,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2225,1272
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,1/14/94,1994,Y,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2220,1267
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,6/22/95,1995,Y,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2221,1268
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,7/7/97,1997,Y,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2224,1271
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,3/8/99,1999,Y,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2226,1273
KYK database,fasciculisetae,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Murphy/Kaneshiro Trail, Dry Site",,B,7/13/83,1983,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2217,1264
Price/Yew/Medeiros,fasciculisetae,Maui,20.81053037,-156.2419391,Waikamoi,,Heed Tr.,,,19-Jan-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Maui,20.81053037,-156.2419391,Waikamoi,,Heed Tr.,,,20-Jan-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
UHH,fasciculisetae,Maui,20.811286,-156.241901,EMI,private,"Waikamoi, Haiku Uka",4200,A,12/21/10,2010,Y,m0358-05,1,,1,KNM,Heed Trail sponges,,,grimshawi,discreta,,Heed Center,4,Q,787088.1568,2303718.724,20.811286,-156.241901,1532,25,44,333,1279
UHH,fasciculisetae,Maui,20.82854,-156.27196,Makawao,FR,"Makawao FR, nr. reservoir",2900,A,3/11/10,2010,Y,m0227-04,,1,1,DDK,on bait sponge,,,grimshawi,discreta,,,4,Q,783925,2305577,20.82854,-156.27196,1100,18,46,242,1278
UHH,fasciculisetae,Molokai,21.10864741,-156.9056386,Kamakou,TNC,Puu Kolekole trail,3700,A,12/16/10,2010,Y,m0350-01,,2,2,KNM,on bait sponge,,,grimshawi,discreta,,Molokai 8,4,Q,717542.7191,2335604.362,21.10864741,-156.9056386,1515,25,27,322,1293
UHH,fasciculisetae,Molokai,21.11157672,-156.9070336,Kamakou,TNC,West Kawela Gulch,3650,A,12/16/10,2010,Y,m0347-01,,4,4,KNM,on bait sponge,,,grimshawi,discreta,,WK Tet Urera,4,Q,717393.5021,2335926.814,21.11157672,-156.9070336,1499,25,11,316,1292
"Hardy, 1965",fasciculisetae,Molokai,21.11655,-156.77479,,private,Waialua Valley,,,7/1/52,1952,N,,1,3,4,,,"holotype male, allotype female, paratypes",,grimshawi,discreta,,,,,,,,,,,,720,1281
Price/Yew/Medeiros,fasciculisetae,Molokai,21.118062,-156.908565,Kamakou,,Pepeopae,,,16-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.118062,-156.908565,Kamakou,,Pepeopae,,,16-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.118062,-156.908565,Kamakou,,Hanalilolilo,,,17-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.118062,-156.908565,Kamakou,,Hanalilolilo,,,17-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.118062,-156.908565,Kamakou,,Hanalilolilo,,,17-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.118062,-156.908565,Kamakou,,Hanalilolilo,,,17-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.118062,-156.908565,Kamakou,,Hanalilolilo,,,17-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
Price/Yew/Medeiros,fasciculisetae,Molokai,21.11824,156.90849,Kamakou,,PuuKolekole,,,15-May-21,,,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,,
KYK database,fasciculisetae,Molokai,21.11845,-156.90643,Kamakou,TNC,Hanalilolilo,,,2/12/72,1972,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2228,1283
KYK database,fasciculisetae,Molokai,21.11845,-156.90643,Kamakou,TNC,Hanalilolilo,,,1/19/73,1973,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2229,1284
KYK database,fasciculisetae,Molokai,21.11845,-156.90643,Kamakou,TNC,Hanalilolilo,,,7/9/73,1973,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2230,1285
KYK database,fasciculisetae,Molokai,21.11845,-156.90643,Kamakou,TNC,Hanalilolilo,,,5/7/76,1976,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2232,1287
KYK database,fasciculisetae,Molokai,21.11845,-156.90643,Kamakou,TNC,Hanalilolilo,,,3/9/79,1979,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2233,1288
KYK database,fasciculisetae,Molokai,21.11845,-156.90643,Kamakou,TNC,Hanalilolilo,,,9/19/82,1982,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2234,1289
KYK database,fasciculisetae,Molokai,21.11845,-156.90643,Kamakou,TNC,Hanalilolilo,,,7/20/83,1983,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2235,1290
KYK database,fasciculisetae,Molokai,21.11845,-156.90643,Kamakou,TNC,Hanalilolilo,,,11/19/86,1986,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2236,1291
KYK database,fasciculisetae,Molokai,21.13859,-156.7714,Molokai,FR,"Apee, East Molokai",,,7/23/68,1968,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2227,1282
KYK database,fasciculisetae,Molokai,21.13859,-156.7714,Molokai,FR,"Apee, East Molokai",,,9/24/73,1973,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2231,1286
"Hardy & Kaneshiro, 1968",flexipes,Oahu,21.31117,-157.73353,Honolulu Watershed,FR,Niu,800,,8/21/65,1965,N,C142.4,3,,3,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,755,1295
KYK database,flexipes,Oahu,21.32378,-157.75437,Honolulu Watershed,FR,Wailupe Gulch,,,11/28/71,1971,N,Q024,,2,2,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,950,1311
KYK database,flexipes,Oahu,21.39734,-158.09861,,private,Palehua,,,2/14/71,1971,N,P070,,,8,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,948,1309
KYK database,flexipes,Oahu,21.40438,-158.09787,,private,Mauna Kapu,,,2/22/70,1970,N,P008,,1,1,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,942,1301
"Hardy & Kaneshiro, 1968",flexipes,Oahu,21.41280949,-158.0994118,Honouliuli,FR,Palikea,,,5/11/66,1966,N,,1,,1,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,757,1296
KYK database,flexipes,Oahu,21.41312432,-158.0997093,Honouliuli,FR,Palikea,,,4/29/77,1977,N,U033,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,953,1315
OANRP,flexipes,Oahu,21.4248549,-158.0904624,Honouliuli,FR,Pualii,2000,A,3/13/14,2014,Y,PUA-A,,,2,,,,,grimshawi,hawaiiensis,,,,,594260.0057,2369441.975,,,,,,4213,1325
OANRP,flexipes,Oahu,21.4248549,-158.0904624,Honouliuli,FR,Pualii,2000,A,5/28/14,2014,Y,PUA-A,,,1,,,,,grimshawi,hawaiiensis,,,,,594260.0057,2369441.975,,,,,,4216,1328
SLM,flexipes,Oahu,21.42994,-158.09276,Lualualei,MR,Lualualei Valley,1800,,9/1/09,2009,Y,,1,,1,SLM,,date & precise locality uncertain,,grimshawi,hawaiiensis,,,,,,,,,,,,1509,1316
UHIM,flexipes,Oahu,21.4403,-158.09715,Honouliuli,FR,Puu Kaua,2200,,8/2/74,1974,N,P49,,,1,SLM,,,,grimshawi,hawaiiensis,,,,,,,,,,,,819,1314
"Hardy & Kaneshiro, 1968",flexipes,Oahu,21.50013,-158.13818,Schofield Barracks,FR,Mount Kaala,,C,4/22/65,1965,N,,1,,1,,,locality uncertain,,grimshawi,hawaiiensis,,,,,,,,,,,,756,1294
UHH,flexipes,Oahu,21.50266534,-158.1684129,Makaha,BWS,Makaha Valley,2200,A,8/10/10,2010,Y,m0307-01,1,,1,KNM,west sponges,,,grimshawi,hawaiiensis,,Makaha west,4,Q,586135.423,2378009.772,21.50266534,-158.1684129,1377,23,13,293,1317
KYK database,flexipes,Oahu,21.51330884,-158.1930492,Makua-Keaau,FR,"Ohikilolo Ridge, Makua Valley",,C,2/10/71,1971,N,P068,,,1,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,947,1308
KYK database,flexipes,Oahu,21.51645,-158.14909,Mokuleia,FR,Makaleha Valley,,,8/6/69,1969,N,M063,,2,2,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,940,1299
KYK database,flexipes,Oahu,21.51645,-158.14909,Mokuleia,FR,Makaleha Valley,,,2/8/70,1970,N,P002,,2,2,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,941,1300
KYK database,flexipes,Oahu,21.51645,-158.14909,Mokuleia,FR,Makaleha Valley,,,7/19/70,1970,N,P042,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,945,1305
KYK database,flexipes,Oahu,21.51645,-158.14909,Mokuleia,FR,Makaleha Valley,,,1/30/71,1971,N,P065,,6,6,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,946,1307
KYK database,flexipes,Oahu,21.51921,-158.11479,Mt. Kaala,NAR,Puu Pane,,,3/1/70,1970,N,P010,,3,3,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,943,1303
KYK database,flexipes,Oahu,21.51921,-158.11479,Mt. Kaala,NAR,Puu Pane,,,6/16/70,1970,N,P032,2,9,11,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,944,1304
KYK database,flexipes,Oahu,21.51921,-158.11479,Mt. Kaala,NAR,Puu Pane,,,3/7/71,1971,N,P073,2,5,7,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,949,1310
KYK database,flexipes,Oahu,21.51921,-158.11479,Mt. Kaala,NAR,Puu Pane,,,9/17/72,1972,N,R053,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,952,1313
"Montgomery, 1975",flexipes,Oahu,21.51921,-158.11479,Mt. Kaala,NAR,0.7 mi. NW Puu Pane,1800,,2/28/70,1970,N,P10,,,3,,ex Sapindus oahuensis sap flux,,,grimshawi,hawaiiensis,,,,,,,,,,,,470,1302
OANRP,flexipes,Oahu,21.5204866,-158.1283822,Kaala,NAR,Manuwai west,1700,A,4/24/13,2013,Y,ANU-C,,,1,,,,,grimshawi,hawaiiensis,,,,,590271.0029,2380004.981,,,,,,4206,1318
OANRP,flexipes,Oahu,21.5204866,-158.1283822,Kaala,NAR,Manuwai west,1700,A,2/11/14,2014,Y,ANU-C,,,10,,,,,grimshawi,hawaiiensis,,,,,590271.0029,2380004.981,,,,,,4209,1321
OANRP,flexipes,Oahu,21.5204866,-158.1283822,Kaala,NAR,Manuwai west,1700,A,2/12/14,2014,Y,ANU-C,,,14,,,,,grimshawi,hawaiiensis,,,,,590271.0029,2380004.981,,,,,,4211,1323
OANRP,flexipes,Oahu,21.5204866,-158.1283822,Kaala,NAR,Manuwai west,1700,A,5/14/14,2014,Y,ANU-C,,,1,,,,,grimshawi,hawaiiensis,,,,,590271.0029,2380004.981,,,,,,4214,1326
"Montgomery, 1975",flexipes,Oahu,21.52129,-158.1481,Mokuleia,FR,East Makaleha,1600,,7/28/70,1970,N,P47,,,3,,ex Sapindus oahuensis sap flux,,,grimshawi,hawaiiensis,,,,,,,,,,,,471,1306
OANRP,flexipes,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,4/25/13,2013,Y,ANU-A,,,1,,,,,grimshawi,hawaiiensis,,,,,590525.0024,2380322.98,,,,,,4207,1319
OANRP,flexipes,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,2/11/14,2014,Y,ANU-A,,,4,,,,,grimshawi,hawaiiensis,,,,,590525.0024,2380322.98,,,,,,4208,1320
OANRP,flexipes,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,2/12/14,2014,Y,ANU-A,,,3,,,,,grimshawi,hawaiiensis,,,,,590525.0024,2380322.98,,,,,,4210,1322
OANRP,flexipes,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,2/13/14,2014,Y,ANU-A,,,6,,,,,grimshawi,hawaiiensis,,,,,590525.0024,2380322.98,,,,,,4212,1324
OANRP,flexipes,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,5/15/14,2014,Y,ANU-A,,,1,,,,,grimshawi,hawaiiensis,,,,,590525.0024,2380322.98,,,,,,4215,1327
OANRP,flexipes,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,6/16/15,2015,Y,ANU-A,,,1,,,,,grimshawi,hawaiiensis,,,,,590525.0024,2380322.98,,,,,,4217,1329
KYK database,flexipes,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,,,6/30/69,1969,N,M049,,3,3,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,939,1298
KYK database,flexipes,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,,,2/6/72,1972,N,Q083,,,39,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,951,1312
KYK database,flexipes,Oahu,21.54405,-158.18829,Pahole,NAR,Peacock Flat,1400,,5/23/68,1968,N,L067,,1,1,,,Pahole gulch,,grimshawi,hawaiiensis,,,,,,,,,,,,938,1297
UHH,formella,Hawaii,19.30331698,-155.8189124,South Kona,FR,Kukuiopae,4600,A,12/29/09,2009,Y,m0260-01,,1,1,KNM,F1 reared in lab,,,grimshawi,hawaiiensis,,SK4600B,5,Q,203757.4521,2136799.739,19.30331698,-155.8189124,1201,20,23,266,1344
UHH,formella,Hawaii,19.30331698,-155.8189124,South Kona,FR,Kukuiopae,4600,A,12/29/09,2009,Y,m0169-02,1,1,2,KNM,on bait sponge,,,grimshawi,hawaiiensis,,SK4600B,5,Q,203757.4521,2136799.739,19.30331698,-155.8189124,796,13,52,174,1343
UHH,formella,Hawaii,19.30440486,-155.8333327,South Kona,FR,Kukuiopae,3750,A,8/5/09,2009,Y,m0092-03,,4,4,KNM,on bait sponge,,,grimshawi,hawaiiensis,,SK3800,5,Q,202243.0077,2136944.977,19.30440486,-155.8333327,448,8,14,95,1342
UHH,formella,Hawaii,19.30440486,-155.8333327,South Kona,FR,Kukuiopae,3750,A,9/17/11,2011,Y,,,1,1,PP,on bait sponge,,,grimshawi,hawaiiensis,,SK3800,5,Q,202243.0077,2136944.977,19.30440486,-155.8333327,448,8,14,3944,1345
KYK database,formella,Hawaii,19.40546,-155.01398,Wao Kele O Puna,FR,Puna Forest Reserve,,C,5/7/72,1972,N,,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,2239,1334
"Clayton, 1976",formella,Hawaii,19.51518,-155.82178,Kealakekua Ranch,private,Pauahi,4500,B,12/31/76,1976,N,,,,4,,,,N,grimshawi,hawaiiensis,,,,,,,,,,,,409,1337
KYK database,formella,Hawaii,19.51518,-155.82178,Kealakekua Ranch,private,Pauahi,,B,10/22/71,1971,N,,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,2238,1333
KYK database,formella,Hawaii,19.51518,-155.82178,Kealakekua Ranch,private,Pauahi,,B,1/14/73,1973,N,,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,2240,1335
KYK database,formella,Hawaii,19.71644276,-155.9162636,KSBE,private,"Hinakapoula, Hualalai",,B,8/7/95,1995,Y,,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,2246,1341
"Clayton, 1976",formella,Hawaii,19.72891912,-155.9316668,Hualalai Ranch,private,Moanuiahea,4500,C,12/31/76,1976,N,,,,1,,,,Y,grimshawi,hawaiiensis,,,,,,,,,,,,410,1338
KYK database,formella,Hawaii,19.72892,-155.93167,Hualalai Ranch,private,Hualalai Ranch,,C,5/19/76,1976,N,,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,2243,1336
KYK database,formella,Hawaii,19.72892,-155.93167,Hualalai Ranch,private,Hualalai Ranch,,C,5/28/77,1977,N,,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,2244,1339
KYK database,formella,Hawaii,19.72892,-155.93167,Hualalai Ranch,private,Hualalai Ranch,,C,5/28/77,1977,N,,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,2245,1340
"Hardy & Kaneshiro, 1972",formella,Hawaii,19.73687408,-155.8748011,Puu Waawaa,WS,Puu Waawaa,4000,C,12/22/69,1969,N,M87,12,,12,HLC & KYK,type series,,Y,grimshawi,hawaiiensis,,,,,,,,,,,,408,1330
KYK database,formella,Hawaii,19.73687408,-155.8748011,Puu Waawaa,FR,"Poohoohoo, Puuwaawaa",,B,12/22/69,1969,N,M087,10,18,28,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,954,1331
KYK database,formella,Hawaii,19.73687408,-155.8748011,Puu Waawaa,WS,Puuwaawaa,,C,7/8/71,1971,N,,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,2237,1332
KYK database,glabriapex,Kauai,21.97203363,-159.4995437,Lihue-Koloa,FR,Mt. Kahili,,,7/30/68,1968,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2253,1356
KYK database,glabriapex,Kauai,21.97203363,-159.4995437,Lihue-Koloa,FR,Mt. Kahili,,,5/10/76,1976,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2259,1363
KYK database,glabriapex,Kauai,22.0658517,-159.4792025,Lihue-Koloa,FR,Wailua River,,,3/12/68,1968,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2251,1354
UHH,glabriapex,Kauai,22.11128446,-159.5955025,Alakai Wilderness Preserve,WP,Mohihi Trail,3800,A,7/24/10,2010,Y,m0292-01,,1,1,KNM,on bait sponge,,,grimshawi,discreta,,15,4,Q,438579.0049,2445264.819,22.11128446,-159.5955025,1308,22,6,285,1376
"Hardy & Kaneshiro, 1968",glabriapex,Kauai,22.11386,-159.60006,Na Pali-Kona,FR,Mohihi Stream,,,5/16/66,1966,N,,1,,6,,,holotype,,grimshawi,discreta,,,,,,,,,,,,758,1348
"Hardy & Kaneshiro, 1968",glabriapex,Kauai,22.11386,-159.60006,Na Pali-Kona,FR,Mohihi Stream,,,7/18/66,1966,N,J7B,,1,1,,,allotype,,grimshawi,discreta,,,,,,,,,,,,759,1349
KYK database,glabriapex,Kauai,22.11386,-159.60006,Na Pali-Kona,FR,Mohihi,,,7/18/66,1966,N,J7B,,,,,,,,grimshawi,discreta,y,,,,,,,,,,,2247,1350
UHH,glabriapex,Kauai,22.11407874,-159.5741237,Alakai Wilderness Preserve,WP,Mohihi Trail,4150,A,7/24/10,2010,Y,m0291-01,,1,1,KNM,on bait sponge,,,grimshawi,discreta,,17,4,Q,440785.2664,2445565.65,22.11407874,-159.5741237,1307,22,5,284,1375
KYK database,glabriapex,Kauai,22.12124,-159.4383,Halelea,FR,Powerline Trail,,,6/2/77,1977,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2263,1367
"Hardy & Kaneshiro, 1968",glabriapex,Kauai,22.12319,-159.65655,Kokee,SP,Halemanu Valley,4000,C,1/1/66,1966,N,,,,6,,no date given,"numbers for each site uncertain, total of 24",,grimshawi,discreta,,,,,,,,,,,,761,1347
KYK database,glabriapex,Kauai,22.12319,-159.65655,Kokee,SP,Halemanu,,C,6/22/67,1967,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2250,1353
KYK database,glabriapex,Kauai,22.12319,-159.65655,Kokee,SP,Halemanu,,C,3/22/68,1968,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2252,1355
KYK database,glabriapex,Kauai,22.12319,-159.65655,Kokee,SP,Halemanu,,C,1/28/72,1972,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2258,1362
KYK database,glabriapex,Kauai,22.13546,-159.6406,Kokee,SP,"Berry Flat Trail, Kokee",,,5/10/67,1967,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2249,1352
KYK database,glabriapex,Kauai,22.13546,-159.6406,Kokee,SP,"Berry Flat Trail, Kokee",,,8/2/68,1968,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2255,1358
KYK database,glabriapex,Kauai,22.13546,-159.6406,Kokee,SP,"Berry Flat Trail, Kokee",,,6/8/76,1976,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2261,1365
"Hardy & Kaneshiro, 1968",glabriapex,Kauai,22.14230673,-159.622145,Na Pali-Kona,FR,Kokee,3600,C,6/23/64,1964,N,,,,6,,,"numbers for each site uncertain, total of 24",,grimshawi,discreta,,,,,,,,,,,,760,1346
KYK database,glabriapex,Kauai,22.14230673,-159.622145,Na Pali-Kona,FR,Kokee,,C,12/28/66,1966,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2248,1351
KYK database,glabriapex,Kauai,22.14230673,-159.622145,Na Pali-Kona,FR,Kokee,,C,7/31/68,1968,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2254,1357
KYK database,glabriapex,Kauai,22.14230673,-159.622145,Na Pali-Kona,FR,Kokee,,C,8/16/68,1968,N,M011,1,1,2,,,,,grimshawi,discreta,,,,,,,,,,,,955,1359
KYK database,glabriapex,Kauai,22.14230673,-159.622145,Na Pali-Kona,FR,Kokee,,C,11/17/68,1968,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2256,1360
KYK database,glabriapex,Kauai,22.14230673,-159.622145,Na Pali-Kona,FR,Kokee,,C,8/11/71,1971,N,,,,,,,,,grimshawi,discreta,,,,,,,,,,,,2257,1361
